year	sunspot	variation
1700	5	5
1701	11	6
1702	16	5
1703	23	7
1704	36	13
1705	58	22
1706	29	-29
1707	20	-9
1708	10	-10
1709	8	-2
1710	3	-5
1711	0	-3
1712	0	0
1713	2	2
1714	11	9
1715	27	16
1716	47	20
1717	63	16
1718	60	-3
1719	39	-21
1720	28	-11
1721	26	-2
1722	22	-4
1723	11	-11
1724	21	10
1725	40	19
1726	78	38
1727	122	44
1728	103	-19
1729	73	-30
1730	47	-26
1731	35	-12
1732	11	-24
1733	5	-6
1734	16	11
1735	34	18
1736	70	36
1737	81	11
1738	111	30
1739	101	-10
1740	73	-28
1741	40	-33
1742	20	-20
1743	16	-4
1744	5	-11
1745	11	6
1746	22	11
1747	40	18
1748	60	20
1749	80.9	20.9
1750	83.4	2.5
1751	47.7	-35.7
1752	47.8	0.1
1753	30.7	-17.1
1754	12.2	-18.5
1755	9.6	-2.6
1756	10.2	0.6
1757	32.4	22.2
1758	47.6	15.2
1759	54	6.4
1760	62.9	8.9
1761	85.9	23
1762	61.2	-24.7
1763	45.1	-16.1
1764	36.4	-8.7
1765	20.9	-15.5
1766	11.4	-9.5
1767	37.8	26.4
1768	69.8	32
1769	106.1	36.3
1770	100.8	-5.3
1771	81.6	-19.2
1772	66.5	-15.1
1773	34.8	-31.7
1774	30.6	-4.2
1775	7	-23.6
1776	19.8	12.8
1777	92.5	72.7
1778	154.4	61.9
1779	125.9	-28.5
1780	84.8	-41.1
1781	68.1	-16.7
1782	38.5	-29.6
1783	22.8	-15.7
1784	10.2	-12.6
1785	24.1	13.9
1786	82.9	58.8
1787	132	49.1
1788	130.9	-1.1
1789	118.1	-12.8
1790	89.9	-28.2
1791	66.6	-23.3
1792	60	-6.6
1793	46.9	-13.1
1794	41	-5.9
1795	21.3	-19.7
1796	16	-5.3
1797	6.4	-9.6
1798	4.1	-2.3
1799	6.8	2.7
1800	14.5	7.7
1801	34	19.5
1802	45	11
1803	43.1	-1.9
1804	47.5	4.4
1805	42.2	-5.3
1806	28.1	-14.1
1807	10.1	-18
1808	8.1	-2
1809	2.5	-5.6
1810	0	-2.5
1811	1.4	1.4
1812	5	3.6
1813	12.2	7.2
1814	13.9	1.7
1815	35.4	21.5
1816	45.8	10.4
1817	41.1	-4.7
1818	30.1	-11
1819	23.9	-6.2
1820	15.6	-8.3
1821	6.6	-9
1822	4	-2.6
1823	1.8	-2.2
1824	8.5	6.7
1825	16.6	8.1
1826	36.3	19.7
1827	49.6	13.3
1828	64.2	14.6
1829	67	2.8
1830	70.9	3.9
1831	47.8	-23.1
1832	27.5	-20.3
1833	8.5	-19
1834	13.2	4.7
1835	56.9	43.7
1836	121.5	64.6
1837	138.3	16.8
1838	103.2	-35.1
1839	85.7	-17.5
1840	64.6	-21.1
1841	36.7	-27.9
1842	24.2	-12.5
1843	10.7	-13.5
1844	15	4.3
1845	40.1	25.1
1846	61.5	21.4
1847	98.5	37
1848	124.7	26.2
1849	96.3	-28.4
1850	66.6	-29.7
1851	64.5	-2.1
1852	54.1	-10.4
1853	39	-15.1
1854	20.6	-18.4
1855	6.7	-13.9
1856	4.3	-2.4
1857	22.7	18.4
1858	54.8	32.1
1859	93.8	39
1860	95.8	2
1861	77.2	-18.6
1862	59.1	-18.1
1863	44	-15.1
1864	47	3
1865	30.5	-16.5
1866	16.3	-14.2
1867	7.3	-9
1868	37.6	30.3
1869	74	36.4
1870	139	65
1871	111.2	-27.8
1872	101.6	-9.6
1873	66.2	-35.4
1874	44.7	-21.5
1875	17	-27.7
1876	11.3	-5.7
1877	12.4	1.1
1878	3.4	-9
1879	6	2.6
1880	32.3	26.3
1881	54.3	22
1882	59.7	5.4
1883	63.7	4
1884	63.5	-0.2
1885	52.2	-11.3
1886	25.4	-26.8
1887	13.1	-12.3
1888	6.8	-6.3
1889	6.3	-0.5
1890	7.1	0.8
1891	35.6	28.5
1892	73	37.4
1893	85.1	12.1
1894	78	-7.1
1895	64	-14
1896	41.8	-22.2
1897	26.2	-15.6
1898	26.7	0.5
1899	12.1	-14.6
1900	9.5	-2.6
1901	2.7	-6.8
1902	5	2.3
1903	24.4	19.4
1904	42	17.6
1905	63.5	21.5
1906	53.8	-9.7
1907	62	8.2
1908	48.5	-13.5
1909	43.9	-4.6
1910	18.6	-25.3
1911	5.7	-12.9
1912	3.6	-2.1
1913	1.4	-2.2
1914	9.6	8.2
1915	47.4	37.8
1916	57.1	9.7
1917	103.9	46.8
1918	80.6	-23.3
1919	63.6	-17
1920	37.6	-26
1921	26.1	-11.5
1922	14.2	-11.9
1923	5.8	-8.4
1924	16.7	10.9
1925	44.3	27.6
1926	63.9	19.6
1927	69	5.1
1928	77.8	8.8
1929	64.9	-12.9
1930	35.7	-29.2
1931	21.2	-14.5
1932	11.1	-10.1
1933	5.7	-5.4
1934	8.7	3
1935	36.1	27.4
1936	79.7	43.6
1937	114.4	34.7
1938	109.6	-4.8
1939	88.8	-20.8
1940	67.8	-21
1941	47.5	-20.3
1942	30.6	-16.9
1943	16.3	-14.3
1944	9.6	-6.7
1945	33.2	23.6
1946	92.6	59.4
1947	151.6	59
1948	136.3	-15.3
1949	134.7	-1.6
1950	83.9	-50.8
1951	69.4	-14.5
1952	31.5	-37.9
1953	13.9	-17.6
1954	4.4	-9.5
1955	38	33.6
1956	141.7	103.7
1957	190.2	48.5
1958	184.8	-5.4
1959	159	-25.8
1960	112.3	-46.7
1961	53.9	-58.4
1962	37.5	-16.4
1963	27.9	-9.6
1964	10.2	-17.7
1965	15.1	4.9
1966	47	31.9
1967	93.8	46.8
1968	105.9	12.1
1969	105.5	-0.4
1970	104.5	-1
1971	66.6	-37.9
1972	68.9	2.3
1973	38	-30.9
1974	34.5	-3.5
1975	15.5	-19
1976	12.6	-2.9
1977	27.5	14.9
1978	92.5	65
1979	155.4	62.9
1980	154.6	-0.8
1981	140.4	-14.2
1982	115.9	-24.5
1983	66.6	-49.3
1984	45.9	-20.7
1985	17.9	-28
1986	13.4	-4.5
1987	29.3	15.9
1988	100.2	70.9
1989	157.6	57.4
1990	142.6	-15
1991	145.7	3.1
1992	94.3	-51.4
1993	54.6	-39.7
1994	29.9	-24.7
1995	17.5	-12.4
1996	18.7	1.2
1997	23.4	4.7
